MEASURE	time	zb_H2O
UNIT	s	1
STDDEV	1.0	1.0
DATA	0	0.0001576
	3600	0.0001576
	7200	0.0001576
	10800	0.0001576
	14400	0.0001576
	18000	0.0001576
	21600	0.0001576
	25200	0.0001576
	28800	0.0001576
	32400	0.0001576
	36000	0.0001576
	39600	0.0001576
	43200	0.0001576
	46800	0.0001576
	50400	0.0001576
	54000	0.0001576
	57751.26052	0.0001576
	58129.41175	0.0001576
	58431.93278	0.0001576
	58734.45378	0.0001576
	59074.78993	0.0001576
	59448.83504	0.0001576
	59717.73982	0.0001576
	59717.73982	0.0001576
	60087.48581	0.0001576
	60457.23184	0.0001576
	60793.36358	0.0001576
	61129.49533	0.0001576
	61432.01435	0.0001576
	61734.5334	0.0001686
	61969.82699	0.0001910
	62205.11906	0.0002191
	62440.41114	0.0002527
	62642.09048	0.0002975
	62843.76986	0.0003480
	62843.76986	0.0003480
	62978.22378	0.0003872
	63146.28888	0.0004376
	63247.12855	0.0004881
	63448.80793	0.0005553
	63583.26185	0.0006226
	63717.71425	0.0006898
	63818.55392	0.0007627
	63953.00629	0.0008300
	64087.46024	0.0008972
	64188.29992	0.0009757
	64322.75232	0.0010541
	64423.59199	0.0011270
	64524.43166	0.0011943
	64625.27134	0.0012671
	64726.11101	0.0013456
	64826.95068	0.0014128
	64927.79039	0.0014801
	65028.63006	0.0015586
	65129.46973	0.0016426
	65230.3094	0.0017211
	65331.14908	0.0017996
	65431.98878	0.0018780
	65566.44115	0.0019621
	65667.28082	0.0020406
	65734.5078	0.0021078
	65835.34747	0.0021751
	65936.18714	0.0022591
	66070.63955	0.0023432
	66171.47922	0.0024329
	66272.31889	0.0025057
	66440.38554	0.0025842
	66541.22521	0.0026627
	66642.06492	0.0027467
	66776.51729	0.0028252
	66910.97124	0.0029149
	67112.65058	0.0030382
	67247.10299	0.0031391
	67448.78233	0.0032343
	67583.23474	0.0033128
	67784.91408	0.0033969
	67885.75375	0.0034753
	68053.82195	0.0035594
	68221.88705	0.0036267
	68356.34096	0.0036939
	68490.79182	0.0037500
	68692.4712	0.0038340
	68860.53936	0.0039069
	69028.60446	0.0039741
	69263.89808	0.0040358
	69499.18861	0.0041087
	69700.86796	0.0041703
	69902.54734	0.0042320
	70137.84092	0.0042768
	70373.13455	0.0043216
	70642.03932	0.0043721
	70978.17262	0.0044169
	71347.91706	0.0044505
	71852.11546	0.0044786
	72356.31385	0.0045010
	72793.28682	0.0045122
	73196.64554	0.0045178
	73700.84394	0.0045178
	74104.20263	0.0045178
	74541.17254	0.0045066
	74978.1455	0.0045066
	75448.72962	0.0045122
	74541.17254	0.0045066
	75600	0.0045310
	79200	0.0045310
	82800	0.0045310
	86400	0.0045310
	90000	0.0045310
												
